Gradient,Site,Cage,Line,Emergence,Survivors,MeanCT,MeanHT,MeanWSPixels,MeanWSmm,SiteMeanCT,SiteMeanHT,SiteMeanWS,SiteSD_CT,SiteSD_HT,SiteSD_WS,Z_MeanCT,Z_MeanHT,Z_MeanWS,GradientMeanCT,GradientMeanHT,GradientMeanWS,GradientSD_CT,GradientSD_HT,GradientSD_WS,Z_MeanCT_Gradient,Z_MeanHT_Gradient,Z_MeanWS_Gradient,WS_survivors_pixels,WS_offspring_pixels,WS_survivors_mm,WS_offspring_mm
Danbulla,71,249,DB172,4,9,17.86363636,13.24492754,2198.536703,1.892940102,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,1.815692308,-0.611373943,1.924513158,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,1.95223042,-0.567715574,1.899765064,NA,NA,NA,NA
Danbulla,71,266,DB172,12,8,17.86363636,13.24492754,2198.536703,1.892940102,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,1.815692308,-0.611373943,1.924513158,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,1.95223042,-0.567715574,1.899765064,NA,NA,NA,NA
Danbulla,71,278,DB172,0,5,17.86363636,13.24492754,2198.536703,1.892940102,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,1.815692308,-0.611373943,1.924513158,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,1.95223042,-0.567715574,1.899765064,NA,NA,NA,NA
Danbulla,71,341,DB172,0,10,17.86363636,13.24492754,2198.536703,1.892940102,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,1.815692308,-0.611373943,1.924513158,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,1.95223042,-0.567715574,1.899765064,NA,NA,NA,NA
Danbulla,71,119,DB179,0,5,8.615384615,12.31018519,2162.206302,1.861659626,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.669783336,-1.238982398,-0.348410102,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,NA,NA,NA
Danbulla,71,194,DB179,10,4,8.615384615,12.31018519,2162.206302,1.861659626,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.669783336,-1.238982398,-0.348410102,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,NA,NA,NA
Danbulla,71,199,DB179,0,6,8.615384615,12.31018519,2162.206302,1.861659626,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.669783336,-1.238982398,-0.348410102,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,NA,NA,NA
Danbulla,71,284,DB179,0,8,8.615384615,12.31018519,2162.206302,1.861659626,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.669783336,-1.238982398,-0.348410102,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,NA,NA,NA
Danbulla,71,146,DB192,10,4,11.9,16.53985507,2162.623413,1.862018758,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,0.212959886,1.600919507,-0.322314556,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,0.301981713,1.89995659,-0.337156914,NA,NA,NA,NA
Danbulla,71,183,DB192,0,8,11.9,16.53985507,2162.623413,1.862018758,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,0.212959886,1.600919507,-0.322314556,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,0.301981713,1.89995659,-0.337156914,NA,NA,NA,NA
Danbulla,71,42,DB192,0,4,11.9,16.53985507,2162.623413,1.862018758,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,0.212959886,1.600919507,-0.322314556,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,0.301981713,1.89995659,-0.337156914,NA,NA,NA,NA
Danbulla,71,56,DB192,6,8,11.9,16.53985507,2162.623413,1.862018758,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,0.212959886,1.600919507,-0.322314556,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,0.301981713,1.89995659,-0.337156914,NA,NA,NA,NA
Danbulla,71,111,DB221,5,9,9.078947368,13.81774193,2155.539276,1.855919317,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.545200445,-0.226772609,-0.765516328,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,NA,NA,NA,NA
Danbulla,71,142,DB221,0,2,9.078947368,13.81774193,2155.539276,1.855919317,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.545200445,-0.226772609,-0.765516328,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,NA,NA,NA,NA
Danbulla,71,292,DB221,20,10,9.078947368,13.81774193,2155.539276,1.855919317,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.545200445,-0.226772609,-0.765516328,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,2210.946832,2201.896359,1.903625222,1.895832765
Danbulla,71,43,DB221,0,9,9.078947368,13.81774193,2162.206302,1.861659626,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.545200445,-0.226772609,-0.348410102,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.36313741,NA,NA,NA,NA
Danbulla,71,124,DB228,0,9,8.08,14.86474359,2158.30399,1.858299736,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.813668413,0.476209443,-0.592548728,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,NA,NA,NA
Danbulla,71,126,DB228,0,10,8.08,14.86474359,2158.30399,1.858299736,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.813668413,0.476209443,-0.592548728,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,NA,NA,NA
Danbulla,71,286,DB228,2,10,8.08,14.86474359,2158.30399,1.858299736,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.813668413,0.476209443,-0.592548728,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,NA,NA,NA
Danbulla,71,37,DB228,0,5,8.08,14.86474359,2158.30399,1.858299736,11.10759367,14.15549066,1.866454523,3.720918275,1.489371824,0.013762223,-0.813668413,0.476209443,-0.592548728,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,2212.027431,NA,1.904555618
Danbulla,72,107,DB172,0,6,17.86363636,13.24492754,2198.536703,1.892940102,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,2.945526242,-0.710105365,3.104585154,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,1.95223042,-0.567715574,1.899765064,NA,NA,NA,NA
Danbulla,72,101,DB179,6,4,8.615384615,12.31018519,2162.206302,1.861659626,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.365323804,-1.491315091,-0.063890765,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,2222.120019,NA,1.913245336
Danbulla,72,40,DB179,6,4,8.615384615,12.31018519,2162.206302,1.861659626,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.365323804,-1.491315091,-0.063890765,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.606932239,-1.267772755,-0.36313741,NA,NA,NA,NA
Danbulla,72,234,DB192,0,5,11.9,16.53985507,2162.623413,1.862018758,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,0.810559952,2.04362611,-0.027513335,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,0.301981713,1.89995659,-0.337156914,NA,NA,NA,NA
Danbulla,72,109,DB221,36,10,9.078947368,13.81774193,2155.539276,1.855919317,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.199369545,-0.23137647,-0.645340679,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,2220.352008,2189.696616,1.911723079,1.885328786
Danbulla,72,193,DB221,22,9,9.078947368,13.81774193,2155.539276,1.855919317,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.199369545,-0.23137647,-0.645340679,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,NA,NA,NA,NA
Danbulla,72,361,DB221,0,3,9.078947368,13.81774193,2155.539276,1.855919317,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.199369545,-0.23137647,-0.645340679,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.778404713,NA,NA,NA,NA
Danbulla,72,41,DB221,0,5,9.078947368,13.81774193,2162.206302,1.861659626,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.199369545,-0.23137647,-0.063890765,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.478655834,-0.13871733,-0.36313741,2166.684102,2233.642359,1.865515012,1.923166071
Danbulla,72,294,DB222,11,8,NA,NA,2170.592712,1.868880325,NA,NA,1.862290381,NA,NA,0.009872404,NA,NA,0.667511534,NA,NA,1.866679334,NA,NA,0.013823166,NA,NA,0.159224796,2182.176895,2243.2813,1.878854307,1.931465199
Danbulla,72,100,DB228,11,10,8.08,14.86474359,2158.30399,1.858299736,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.556990102,0.64365383,-0.404222255,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,2129.192265,2330.392545,1.83323454,2.006467981
Danbulla,72,167,DB228,8,10,8.08,14.86474359,2158.30399,1.858299736,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.556990102,0.64365383,-0.404222255,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,2129.192265,2326.761596,1.83323454,2.003341734
Danbulla,72,188,DB228,0,5,8.08,14.86474359,2158.30399,1.858299736,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.556990102,0.64365383,-0.404222255,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,NA,NA,NA
Danbulla,72,374,DB228,0,8,8.08,14.86474359,2158.30399,1.858299736,9.635849589,14.09459126,1.862290381,2.793316404,1.196531891,0.009872404,-0.556990102,0.64365383,-0.404222255,10.80870442,14.00296246,1.866679334,3.613780356,1.335237143,0.013823166,-0.755083085,0.645414287,-0.606199687,NA,NA,NA,NA
