ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
2192,1746,1969,DB108,DB106,138,NA,A,Danbulla,Low,75,Heat_tolerance,NA,1,NA,NA,1187,19.78333333,NA,NA,NA,NA,NA,NA,NA,NA
2193,1747,1970,DB108,DB106,138,NA,B,Danbulla,Low,75,Cold_tolerance,1,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,1747,1970,DB108,DB106,138,NA,B,Danbulla,Low,75,Cold_tolerance,2,NA,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2195,1747,1970,DB108,DB106,138,NA,B,Danbulla,Low,75,Cold_tolerance,1,NA,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2196,1747,1970,DB108,DB106,138,NA,B,Danbulla,Low,75,Heat_tolerance,NA,6,NA,NA,522,8.7,NA,NA,NA,NA,NA,NA,NA,NA
2197,1747,1970,DB108,DB106,138,NA,B,Danbulla,Low,75,Heat_tolerance,NA,2,NA,NA,833,13.88333333,NA,NA,NA,NA,NA,NA,NA,NA
2198,1748,1971,DB117,DB106,139,NA,A,Danbulla,Low,75,Heat_tolerance,NA,4,NA,NA,905,15.08333333,NA,NA,NA,NA,NA,NA,NA,NA
2199,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Cold_tolerance,1,NA,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2202,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Heat_tolerance,NA,2,NA,NA,450,7.5,NA,NA,NA,NA,NA,NA,NA,NA
2203,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Heat_tolerance,NA,7,NA,NA,584,9.733333333,NA,NA,NA,NA,NA,NA,NA,NA
2204,1749,1972,DB150,DB106,140,NA,A,Danbulla,Low,75,Heat_tolerance,NA,6,NA,NA,2212,36.86666667,NA,NA,NA,NA,NA,NA,NA,NA
2205,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2206,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2207,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Cold_tolerance,1,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2208,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Heat_tolerance,NA,3,NA,NA,455,7.583333333,NA,NA,NA,NA,NA,NA,NA,NA
2209,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Heat_tolerance,NA,7,NA,NA,940,15.66666667,NA,NA,NA,NA,NA,NA,NA,NA
2210,1750,1973,DB150,DB106,140,NA,C,Danbulla,Low,75,Heat_tolerance,NA,1,NA,NA,1307,21.78333333,NA,NA,NA,NA,NA,NA,NA,NA
2211,1751,1974,DB192,DB106,141,NA,B,Danbulla,Low,75,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,1751,1974,DB192,DB106,141,NA,B,Danbulla,Low,75,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,1751,1974,DB192,DB106,141,NA,B,Danbulla,Low,75,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2214,1751,1974,DB192,DB106,141,NA,B,Danbulla,Low,75,Heat_tolerance,NA,2,NA,NA,548,9.133333333,NA,NA,NA,NA,NA,NA,NA,NA
2215,1751,1974,DB192,DB106,141,NA,B,Danbulla,Low,75,Heat_tolerance,NA,6,NA,NA,1474,24.56666667,NA,NA,NA,NA,NA,NA,NA,NA
2216,1752,1975,DB107,DB107,168,NA,B,Danbulla,High,76,Heat_tolerance,NA,7,NA,NA,384,6.4,NA,NA,NA,NA,NA,NA,NA,NA
2217,1752,1975,DB107,DB107,168,NA,C,Danbulla,High,76,Heat_tolerance,NA,5,NA,NA,920,15.33333333,NA,NA,NA,NA,NA,NA,NA,NA
2218,1752,1975,DB107,DB107,168,NA,C,Danbulla,High,76,Heat_tolerance,NA,7,NA,NA,1410,23.5,NA,NA,NA,NA,NA,NA,NA,NA
2219,1753,1976,DB205,DB107,169,NA,A,Danbulla,High,76,Cold_tolerance,2,NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,1753,1976,DB205,DB107,169,NA,A,Danbulla,High,76,Cold_tolerance,1,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221,1753,1976,DB205,DB107,169,NA,A,Danbulla,High,76,Cold_tolerance,2,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2222,1753,1976,DB205,DB107,169,NA,A,Danbulla,High,76,Heat_tolerance,NA,5,NA,NA,600,10,NA,NA,NA,NA,NA,NA,NA,NA
2223,1753,1976,DB205,DB107,169,NA,A,Danbulla,High,76,Heat_tolerance,NA,7,NA,NA,624,10.4,NA,NA,NA,NA,NA,NA,NA,NA
2224,1754,1977,DB205,DB107,169,NA,B,Danbulla,High,76,Cold_tolerance,2,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2225,1754,1977,DB205,DB107,169,NA,B,Danbulla,High,76,Cold_tolerance,1,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2226,1754,1977,DB205,DB107,169,NA,B,Danbulla,High,76,Cold_tolerance,2,NA,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
