ID,Dam,Sire
1713,,
1714,,
1715,,
1716,,
1717,,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,,
1744,,
1745,,
1746,1715,
1747,1715,
1748,1716,
1749,1717,
1750,1717,
1751,1730,
1752,1714,
1753,1735,
1754,1735,
1755,1735,
1756,1737,
1757,1713,
1758,1713,
1759,1713,
1760,1715,
1761,1715,
1762,1715,
1763,1716,
1764,1716,
1765,1716,
1766,1717,
1767,1717,
1768,1717,
1769,1730,
1770,1730,
1771,1730,
1772,1713,
1773,1713,
1774,1715,
1775,1715,
1776,1717,
1777,1717,
1778,1730,
1779,1730,
1780,1730,
1781,1713,
1782,1713,
1783,1713,
1784,1715,
1785,1715,
1786,1716,
1787,1716,
1788,1716,
1789,1717,
1790,1717,
1791,1730,
1792,1730,
1793,1730,
1794,1722,
1795,1722,
1796,1722,
1797,1723,
1798,1723,
1799,1723,
1800,1725,
1801,1725,
1802,1728,
1803,1728,
1804,1728,
1805,1729,
1806,1729,
1807,1729,
1808,1722,
1809,1722,
1810,1723,
1811,1723,
1812,1723,
1813,1725,
1814,1728,
1815,1728,
1816,1728,
1817,1729,
1818,1729,
1819,1729,
1820,1722,
1821,1723,
1822,1725,
1823,1725,
1824,1728,
1825,1728,
1826,1729,
1827,1722,
1828,1722,
1829,1723,
1830,1725,
1831,1725,
1832,1725,
1833,1728,
1834,1728,
1835,1729,
1836,1722,
1837,1723,
1838,1723,
1839,1725,
1840,1728,
1841,1728,
1842,1729,
1843,1729,
1844,1729,
1845,1713,
1846,1713,
1847,1715,
1848,1715,
1849,1715,
1850,1716,
1851,1716,
1852,1716,
1853,1717,
1854,1717,
1855,1730,
1856,1714,
1857,1738,
1858,1745,
1859,1745,
1860,1745,
1861,1714,
1862,1714,
1863,1714,
1864,1735,
1865,1735,
1866,1714,
1867,1735,
1868,1735,
1869,1737,
1870,1737,
1871,1738,
1872,1739,
1873,1740,
1874,1740,
1875,1741,
1876,1741,
1877,1743,
1878,1743,
1879,1743,
1880,1744,
1881,1744,
1882,1744,
1883,1739,
1884,1739,
1885,1739,
1886,1740,
1887,1740,
1888,1741,
1889,1741,
1890,1741,
1891,1744,
1892,1739,
1893,1739,
1894,1739,
1895,1740,
1896,1740,
1897,1740,
1898,1741,
1899,1741,
1900,1741,
1901,1743,
1902,1743,
1903,1744,
1904,1739,
1905,1739,
1906,1740,
1907,1740,
1908,1740,
1909,1741,
1910,1741,
1911,1741,
1912,1743,
1913,1743,
1914,1743,
1915,1744,
1916,1744,
1917,1739,
1918,1740,
1919,1740,
1920,1740,
1921,1741,
1922,1741,
1923,1741,
1924,1743,
1925,1743,
1926,1744,
1927,1744,
1928,1714,
1929,1714,
1930,1735,
1931,1738,
1932,1738,
1933,1745,
1934,1730,
1935,1730,
1936,1718,
1937,1730,
1938,1718,
1939,1725,
1940,1725,
1941,1727,
1942,1725,
1943,1723,
1944,1726,
1945,1723,
1946,1725,
1947,1723,
1948,1718,
1949,1719,
1950,1734,
1951,1741,
1952,1734,
1953,1734,
1954,1732,
1955,1732,
1956,1743,
1957,1732,
1958,1742,
1959,1742,
1960,1743,
1961,1743,
1962,1741,
1963,1741,
1964,1743,
1965,1743,
1966,1741,
1967,1742,
1968,1742,
1969,1713,
1970,1713,
1971,1713,
1972,1713,
1973,1713,
1974,1713,
1975,1714,
1976,1714,
1977,1714,
1978,1714,
1979,1714,
1980,1715,
1981,1715,
1982,1715,
1983,1715,
1984,1715,
1985,1715,
1986,1715,
1987,1715,
1988,1715,
1989,1715,
1990,1715,
1991,1715,
1992,1715,
1993,1715,
1994,1715,
1995,1716,
1996,1716,
1997,1716,
1998,1716,
1999,1716,
2000,1716,
2001,1716,
2002,1716,
2003,1716,
2004,1717,
2005,1717,
2006,1717,
2007,1717,
2008,1717,
2009,1717,
2010,1717,
2011,1717,
2012,1717,
2013,1717,
2014,1717,
2015,1717,
2016,1717,
2017,1722,
2018,1722,
2019,1722,
2020,1722,
2021,1722,
2022,1722,
2023,1722,
2024,1722,
2025,1722,
2026,1722,
2027,1722,
2028,1722,
2029,1722,
2030,1722,
