ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
496,26,261,PA12,PA12,43,NA,B,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,26,261,PA12,PA12,43,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,26,261,PA12,PA12,43,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,26,261,PA12,PA12,43,NA,B,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,702,11.7,NA,NA,NA,NA,NA,NA,NA,NA
500,26,261,PA12,PA12,43,NA,B,Paluma,Low,16,Heat_tolerance,NA,8,NA,NA,1256,20.93333333,NA,NA,NA,NA,NA,NA,NA,NA
501,27,262,PA12,PA12,43,NA,C,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,27,262,PA12,PA12,43,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,27,262,PA12,PA12,43,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,27,262,PA12,PA12,43,NA,C,Paluma,Low,16,Heat_tolerance,NA,8,NA,NA,1396,23.26666667,NA,NA,NA,NA,NA,NA,NA,NA
505,27,262,PA12,PA12,43,NA,C,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,1492,24.86666667,NA,NA,NA,NA,NA,NA,NA,NA
506,28,263,PA32,PA12,44,NA,A,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,28,263,PA32,PA12,44,NA,A,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,28,263,PA32,PA12,44,NA,A,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,28,263,PA32,PA12,44,NA,A,Paluma,Low,16,Heat_tolerance,NA,2,NA,NA,788,13.13333333,NA,NA,NA,NA,NA,NA,NA,NA
510,28,263,PA32,PA12,44,NA,A,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,1596,26.6,NA,NA,NA,NA,NA,NA,NA,NA
511,29,264,PA32,PA12,44,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,29,264,PA32,PA12,44,NA,B,Paluma,Low,16,Cold_tolerance,1,NA,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,29,264,PA32,PA12,44,NA,B,Paluma,Low,16,Cold_tolerance,2,NA,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,29,264,PA32,PA12,44,NA,B,Paluma,Low,16,Heat_tolerance,NA,2,NA,NA,523,8.716666667,NA,NA,NA,NA,NA,NA,NA,NA
515,29,264,PA32,PA12,44,NA,B,Paluma,Low,16,Heat_tolerance,NA,3,NA,NA,1070,17.83333333,NA,NA,NA,NA,NA,NA,NA,NA
516,30,265,PA32,PA12,44,NA,C,Paluma,Low,16,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,30,265,PA32,PA12,44,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,30,265,PA32,PA12,44,NA,C,Paluma,Low,16,Cold_tolerance,2,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
